,settlementDate,settlementPeriod,systemSellPrice,systemBuyPrice,netImbalanceVolume
0,2023-10-01,1,97.26,97.26,213.49919
1,2023-10-01,2,93.72,93.72,190.87842
2,2023-10-01,3,44.31037,44.31037,-32.0955
3,2023-10-01,4,31.0,31.0,-35.8179
4,2023-10-01,5,15.2,15.2,-136.1188
5,2023-10-01,6,15.2,15.2,-204.3596
6,2023-10-01,7,-54.95,-54.95,-303.0169
7,2023-10-01,8,15.0,15.0,-128.0597
8,2023-10-01,9,114.5,114.5,134.5334
9,2023-10-01,10,114.5,114.5,169.8252
10,2023-10-01,11,119.0,119.0,112.447
11,2023-10-01,12,84.28,84.28,186.6687
12,2023-10-01,13,50.1,50.1,-160.45381
13,2023-10-01,14,115.0,115.0,93.5663
14,2023-10-01,15,72.2099,72.2099,-23.9706
15,2023-10-01,16,114.0,114.0,35.991
16,2023-10-01,17,55.5,55.5,-445.4072
17,2023-10-01,18,57.0504,57.0504,-255.9338
18,2023-10-01,19,33.2046,33.2046,-403.1511
19,2023-10-01,20,35.1,35.1,-180.0677
20,2023-10-01,21,35.5,35.5,-112.8756
21,2023-10-01,22,35.5,35.5,-185.4436
22,2023-10-01,23,35.5,35.5,-231.7922
23,2023-10-01,24,35.5,35.5,-175.2122
24,2023-10-01,25,123.0,123.0,231.8836
25,2023-10-01,26,123.0,123.0,379.7711
26,2023-10-01,27,123.0,123.0,355.4881
27,2023-10-01,28,123.0,123.0,141.2401
28,2023-10-01,29,86.11,86.11,-25.13959
29,2023-10-01,30,20.0,20.0,-75.9435
30,2023-10-01,31,22.0,22.0,-61.0789
31,2023-10-01,32,123.0,123.0,53.86141
32,2023-10-01,33,124.0,124.0,195.1261
33,2023-10-01,34,50.0,50.0,-124.7908
34,2023-10-01,35,129.9,129.9,524.4401
35,2023-10-01,36,130.0,130.0,816.7099
36,2023-10-01,37,130.0,130.0,1048.3945
37,2023-10-01,38,129.95,129.95,1016.259
38,2023-10-01,39,129.95,129.95,590.3354
39,2023-10-01,40,129.95,129.95,455.5372
40,2023-10-01,41,124.0,124.0,221.5082
41,2023-10-01,42,113.0,113.0,171.6477
42,2023-10-01,43,124.0,124.0,383.8833
43,2023-10-01,44,124.0,124.0,287.9612
44,2023-10-01,45,129.95,129.95,436.94
45,2023-10-01,46,124.0,124.0,204.7999
46,2023-10-01,47,63.02,63.02,-60.3487
47,2023-10-01,48,54.0,54.0,-179.5026
48,2023-10-02,1,54.0,54.0,-84.07009
49,2023-10-02,2,54.0,54.0,-47.0679
50,2023-10-02,3,40.14,40.14,-26.5408
51,2023-10-02,4,113.0,113.0,219.7134
52,2023-10-02,5,120.0,120.0,184.1928
53,2023-10-02,6,54.1,54.1,-54.4118
54,2023-10-02,7,54.0,54.0,-273.1728
55,2023-10-02,8,54.0,54.0,-183.9631
56,2023-10-02,9,53.48,53.48,-117.8329
57,2023-10-02,10,46.3,46.3,-220.259
58,2023-10-02,11,54.1,54.1,-49.30251
59,2023-10-02,12,54.1,54.1,-100.00571
60,2023-10-02,13,54.15,54.15,-32.20521
61,2023-10-02,14,120.0,120.0,162.4353
62,2023-10-02,15,127.0,127.0,189.1915
63,2023-10-02,16,141.31,141.31,458.5884
64,2023-10-02,17,120.0,120.0,130.6686
65,2023-10-02,18,124.88,124.88,329.332
66,2023-10-02,19,54.26,54.26,-155.85883
67,2023-10-02,20,54.26,54.26,-263.07312
68,2023-10-02,21,54.26,54.26,-360.8975
